model_name , time
LinearRegression_cluster_0,1
LinearRegression_cluster_1,0
LinearRegression_cluster_2,0
Ridge_cluster_0,0
Ridge_cluster_1,0
Ridge_cluster_2,0
Lasso_cluster_0,3
Lasso_cluster_1,3
Lasso_cluster_2,2
ElasticNet_cluster_0,6
ElasticNet_cluster_1,1
ElasticNet_cluster_2,2
KernelRidge_cluster_0,7
KernelRidge_cluster_1,0
KernelRidge_cluster_2,0
DecisionTreeRegressor_cluster_0,38
DecisionTreeRegressor_cluster_1,19
DecisionTreeRegressor_cluster_2,23
RandomForestRegressor_cluster_0,663
RandomForestRegressor_cluster_1,35
RandomForestRegressor_cluster_2,118
KNeighborsRegressor_cluster_0,0
KNeighborsRegressor_cluster_1,0
KNeighborsRegressor_cluster_2,0
GradientBoostingRegressor_cluster_0,212
GradientBoostingRegressor_cluster_1,19
GradientBoostingRegressor_cluster_2,48
AdaBoostRegressor_cluster_0,158
AdaBoostRegressor_cluster_1,18
AdaBoostRegressor_cluster_2,43
BaggingRegressor_cluster_0,22
BaggingRegressor_cluster_1,5
BaggingRegressor_cluster_2,8
SVR_cluster_0,5
SVR_cluster_1,0
SVR_cluster_2,0
